"","group","Var1","Var2","r","adj.p","n","significant","label"
"1","BLCA","Leukocyte Fraction","Signature 1",0.11,0.516649901831398,104,0,"BLCA 
 (n=104)"
"2","BLCA","Stromal Fraction","Signature 1",-0.07,0.741219624856181,100,0,"BLCA 
 (n=100)"
"3","BLCA","Intratumor Heterogeneity","Signature 1",0,0.996744036112717,92,0,"BLCA 
 (n=92)"
"4","BLCA","TIL Regional Fraction","Signature 1",-0.18,0.295995702260628,74,0,"BLCA 
 (n=74)"
"5","BLCA","Proliferation","Signature 1",-0.42,0.000313074022260057,100,1,"BLCA 
 (n=100)"
"6","BLCA","Wound Healing","Signature 1",-0.32,0.00931422307349605,100,1,"BLCA 
 (n=100)"
"7","BLCA","Macrophage Regulation","Signature 1",0.11,0.549035708190167,100,0,"BLCA 
 (n=100)"
"8","BLCA","Lymphocyte Infiltration Signature Score","Signature 1",0.17,0.255327861645405,100,0,"BLCA 
 (n=100)"
"9","BLCA","IFN-gamma Response","Signature 1",-0.03,0.932548936583471,100,0,"BLCA 
 (n=100)"
"10","BLCA","TGF-beta Response","Signature 1",0.1,0.566931273812809,100,0,"BLCA 
 (n=100)"
"11","BLCA","SNV Neoantigens","Signature 1",-0.47,4.28033784747429e-05,103,1,"BLCA 
 (n=103)"
"12","BLCA","Indel Neoantigens","Signature 1",-0.35,0.0117410582259035,80,1,"BLCA 
 (n=80)"
"13","BLCA","Silent Mutation Rate","Signature 1",-0.51,4.220587738833e-06,104,1,"BLCA 
 (n=104)"
"14","BLCA","Nonsilent Mutation Rate","Signature 1",-0.51,4.220587738833e-06,104,1,"BLCA 
 (n=104)"
"15","BLCA","Number of Segments","Signature 1",-0.54,1.58184250126916e-06,104,1,"BLCA 
 (n=104)"
"16","BLCA","Fraction Altered","Signature 1",-0.46,5.07252221191539e-05,104,1,"BLCA 
 (n=104)"
"17","BLCA","Aneuploidy Score","Signature 1",-0.23,0.113003478025879,88,0,"BLCA 
 (n=88)"
"18","BLCA","Homologous Recombination Defects","Signature 1",-0.47,7.33977468503256e-05,96,1,"BLCA 
 (n=96)"
"19","BLCA","BCR Evenness","Signature 1",-0.17,0.565103372886687,42,0,"BLCA 
 (n=42)"
"20","BLCA","BCR Shannon","Signature 1",0.1,0.769280195826728,42,0,"BLCA 
 (n=42)"
