"","group","Var1","Var2","r","adj.p","n","significant","label"
"1","BLCA","SBS1","Signature 1",0.04,0.799723520134986,102,0,"BLCA 
 (n=102)"
"2","BLCA","SBS2","Signature 1",0.01,0.932287918005115,93,0,"BLCA 
 (n=93)"
"3","BLCA","SBS3","Signature 1",0,0.932287918005115,8,0,"BLCA 
 (n=8)"
"4","BLCA","SBS4","Signature 1",0,1,0,NA,"BLCA 
 (n=0)"
"5","BLCA","SBS13","Signature 1",0.13,0.300068280702152,93,0,"BLCA 
 (n=93)"
"6","BLCA","SBS15","Signature 1",0,1,1,NA,"BLCA 
 (n=1)"
"7","BLCA","SBS20","Signature 1",0,1,0,NA,"BLCA 
 (n=0)"
"8","BLCA","SBS44","Signature 1",0,1,0,NA,"BLCA 
 (n=0)"
"9","BLCA","SBS1","Signature 2",0.17,0.0725317089016427,137,0,"BLCA 
 (n=137)"
"10","BLCA","SBS2","Signature 2",0.41,4.01670356664466e-06,127,1,"BLCA 
 (n=127)"
"11","BLCA","SBS3","Signature 2",0,0.434556882596281,15,0,"BLCA 
 (n=15)"
"12","BLCA","SBS4","Signature 2",0,1,0,NA,"BLCA 
 (n=0)"
"13","BLCA","SBS13","Signature 2",0.47,1.12404313636568e-07,126,1,"BLCA 
 (n=126)"
"14","BLCA","SBS15","Signature 2",0,1,1,NA,"BLCA 
 (n=1)"
"15","BLCA","SBS20","Signature 2",0,1,0,NA,"BLCA 
 (n=0)"
"16","BLCA","SBS44","Signature 2",0,1,0,NA,"BLCA 
 (n=0)"
"17","BLCA","SBS1","Signature 3",0.34,1.14581432594111e-05,174,1,"BLCA 
 (n=174)"
"18","BLCA","SBS2","Signature 3",0.73,7.68983772323682e-28,163,1,"BLCA 
 (n=163)"
"19","BLCA","SBS3","Signature 3",0,0.00736640876825693,17,1,"BLCA 
 (n=17)"
"20","BLCA","SBS4","Signature 3",0,1,0,NA,"BLCA 
 (n=0)"
"21","BLCA","SBS13","Signature 3",0.75,1.71066852570091e-29,161,1,"BLCA 
 (n=161)"
"22","BLCA","SBS15","Signature 3",0,1,1,NA,"BLCA 
 (n=1)"
"23","BLCA","SBS20","Signature 3",0,1,0,NA,"BLCA 
 (n=0)"
"24","BLCA","SBS44","Signature 3",0,1,0,NA,"BLCA 
 (n=0)"
"25","BLCA","SBS1","Signature 4",0.38,3.49149267928222e-07,178,1,"BLCA 
 (n=178)"
"26","BLCA","SBS2","Signature 4",0.77,1.25324161501038e-32,168,1,"BLCA 
 (n=168)"
"27","BLCA","SBS3","Signature 4",0,0.00474635579413828,19,1,"BLCA 
 (n=19)"
"28","BLCA","SBS4","Signature 4",0,1,0,NA,"BLCA 
 (n=0)"
"29","BLCA","SBS13","Signature 4",0.68,1.30348026923662e-23,166,1,"BLCA 
 (n=166)"
"30","BLCA","SBS15","Signature 4",0,1,1,NA,"BLCA 
 (n=1)"
"31","BLCA","SBS20","Signature 4",0,1,0,NA,"BLCA 
 (n=0)"
"32","BLCA","SBS44","Signature 4",0,1,0,NA,"BLCA 
 (n=0)"
"33","BRCA","SBS1","Signature 1",-0.05,0.367504003212152,391,0,"BRCA 
 (n=391)"
"34","BRCA","SBS2","Signature 1",0.23,0.000828581554729871,234,1,"BRCA 
 (n=234)"
"35","BRCA","SBS3","Signature 1",-0.01,0.924352175191202,144,0,"BRCA 
 (n=144)"
"36","BRCA","SBS4","Signature 1",0,1,0,NA,"BRCA 
 (n=0)"
"37","BRCA","SBS13","Signature 1",0.26,0.00022599655086266,210,1,"BRCA 
 (n=210)"
"38","BRCA","SBS15","Signature 1",0,0.0640750280193664,10,0,"BRCA 
 (n=10)"
"39","BRCA","SBS20","Signature 1",0,1,1,NA,"BRCA 
 (n=1)"
"40","BRCA","SBS44","Signature 1",0,0.469202662746925,5,0,"BRCA 
 (n=5)"
"41","BRCA","SBS1","Signature 2",0.07,0.178707783853753,512,0,"BRCA 
 (n=512)"
"42","BRCA","SBS2","Signature 2",0.29,8.32604378818989e-07,305,1,"BRCA 
 (n=305)"
"43","BRCA","SBS3","Signature 2",0.31,6.25140357618942e-05,170,1,"BRCA 
 (n=170)"
