"","cancertype","Gene","n_ESig3","n_ESig4","p_ks.test","median_ESig3","median_ESig4","p_fisher","p_ks_adj","p_fisher_adj","significant_ks","significant_fisher","direction_ks","direction_fisher","logP_direction_ks","logP_direction_fisher","color_ks","color_fisher","n_sample","Pathway","cancertype_new"
"1","All","PTEN",3616,2816,0,0.760329618563808,1,2.15682388240833e-24,1e-05,1e-05,1,1,"""sig4""^""HI""","""sig3""^""HI""",5,-5,"black","black",2523,"PI3K signaling","All"
"2","All","APC",996,680,0,0.731431842776371,1,8.53356431674137e-15,1e-05,1e-05,1,1,"""sig4""^""HI""","""sig3""^""HI""",5,-5,"black","black",2523,"Wnt/B-catenin signaling","All"
"3","All","MACF1",350,171,0,0.684174913007411,0.962145696348304,3.03450918404904e-15,1e-05,1e-05,1,1,"""sig4""^""HI""","""sig3""^""HI""",5,-5,"black","black",2523,NA,"All"
"4","All","TP53",16524,16389,0,0.888974316586829,1,0.404308939679675,1e-05,0.496091441083199,1,0,"""sig4""^""HI""","""sig3""^""HI""",5,-0.304438265651584,"black","grey",2523,"Genome integrity","All"
"5","All","PIK3CA",5719,4389,0,0.803126886939396,1,1.04680457025643e-42,1e-05,1e-05,1,1,"""sig4""^""HI""","""sig3""^""HI""",5,-5,"black","black",2523,"PI3K signaling","All"
"6","All","DMD",282,175,0,0.690215662081699,0.98419070479659,6.11242914899019e-07,1e-05,4.68619568089248e-06,1,1,"""sig4""^""HI""","""sig3""^""HI""",5,-5.32917958057954,"black","black",2523,"Other","All"
"7","All","HUWE1",230,112,0,0.664193121033906,0.988409801149592,1.58945143012261e-10,1e-05,1e-05,1,1,"""sig4""^""HI""","""sig3""^""HI""",5,-5,"black","black",2523,"Protein homeostasis/ubiquitination","All"
"8","All","FAT1",1584,918,0,0.730423068013451,1,1.93779389109618e-41,1e-05,1e-05,1,1,"""sig4""^""HI""","""sig3""^""HI""",5,-5,"black","black",2523,"Other signaling","All"
"9","All","KMT2D",2136,1688,0,0.744096015423976,0.990993631066989,2.32264776537433e-13,1e-05,1e-05,1,1,"""sig4""^""HI""","""sig3""^""HI""",5,-5,"black","black",2523,"Chromatin histone modifiers","All"
"10","All","ARID1A",2940,2370,0,0.737587735628431,1,1.78940957228115e-15,1e-05,1e-05,1,1,"""sig4""^""HI""","""sig3""^""HI""",5,-5,"black","black",2523,"Chromatin SWI/SNF complex","All"
"11","All","ZFHX3",215,118,1.91524573978086e-12,0.723517737129809,0.974661697077435,1.14104051230002e-07,1e-05,1e-05,1,1,"""sig4""^""HI""","""sig3""^""HI""",5,-5,"black","black",2523,"Transcription factor","All"
"12","All","KMT2C",1235,825,0,0.673792734342621,0.971497488416667,8.85016406706775e-20,1e-05,1e-05,1,1,"""sig4""^""HI""","""sig3""^""HI""",5,-5,"black","black",2523,"Chromatin histone modifiers","All"
"13","All","ATRX",790,455,0,0.666387946469305,0.964280473396055,1.15340307937344e-21,1e-05,1e-05,1,1,"""sig4""^""HI""","""sig3""^""HI""",5,-5,"black","black",2523,"Chromatin SWI/SNF complex","All"
"14","All","APOB",269,184,0,0.685341330083544,0.994510549049407,7.394112416703e-05,1e-05,0.000350926922634,1,1,"""sig4""^""HI""","""sig3""^""HI""",5,-3.45478331202722,"black","black",2523,"Other","All"
"15","All","NF1",1719,1017,0,0.715913275572669,0.957292833159764,4.14722584606241e-42,1e-05,1e-05,1,1,"""sig4""^""HI""","""sig3""^""HI""",5,-5,"black","black",2523,"MAPK signaling","All"
"16","All","PIK3R1",636,486,0,0.734740455606756,0.912933387503149,7.78848703260689e-06,1e-05,4.3125141162027e-05,1,1,"""sig4""^""HI""","""sig3""^""HI""",5,-4.36526947033516,"black","black",2523,"PI3K signaling","All"
"17","All","USP9X",126,68,3.25628191077953e-10,0.678157479279995,0.997984718119395,3.73105848340052e-05,1e-05,0.000185931081089459,1,1,"""sig4""^""HI""","""sig3""^""HI""",5,-3.73064800550858,"black","black",2523,"Protein homeostasis/ubiquitination","All"
"18","All","KMT2B",258,186,2.49456538804482e-05,0.807984074926996,0.986588958196087,0.000722168995049554,4.43973244657977e-05,0.00251079685488159,1,1,"""sig4""^""HI""","""sig3""^""HI""",4.35264320116357,-2.60018842403456,"black","black",2523,"Chromatin histone modifiers","All"
"19","All","POLE",128,74,2.80708778443994e-09,0.695471716648843,1,0.000175507041835596,1e-05,0.000728841743178378,1,1,"""sig4""^""HI""","""sig3""^""HI""",5,-3.13736676184067,"black","black",2523,NA,"All"
"20","All","KMT2A",177,84,2.63543631362495e-11,0.661130715346971,0.951146235293226,8.442976095357e-09,1e-05,1e-05,1,1,"""sig4""^""HI""","""sig3""^""HI""",5,-5,"black","black",2523,"Chromatin histone modifiers","All"
"21","All","VHL",108,100,4.00790511889682e-14,0.762610631070199,1,0.627290537767769,1e-05,0.721384118432934,1,0,"""sig4""^""HI""","""sig3""^""HI""",5,-0.141833423083449,"black","grey",2523,"Protein homeostasis/ubiquitination","All"
"22","All","FLNA",133,83,3.89466237038505e-13,0.724623798284802,0.973504507755422,0.000809170526662542,1e-05,0.00271844929743933,1,1,"""sig4""^""HI""","""sig3""^""HI""",5,-2.56567876273498,"black","black",2523,"Other","All"
"23","All","SPTA1",258,236,0,0.730905585152696,0.950771975084203,0.3439701840357,1e-05,0.43146564817196,1,0,"""sig4""^""HI""","""sig3""^""HI""",5,-0.365053775622555,"black","grey",2523,"Other","All"
"24","All","BCOR",327,153,0,0.70668118008835,1,1.2752083907145e-15,1e-05,1e-05,1,1,"""sig4""^""HI""","""sig3""^""HI""",5,-5,"black","black",2523,"Chromatin other","All"
"25","All","BRCA2",143,95,8.92907969785028e-12,0.698760657770689,0.992182897900049,0.00222902803801441,1e-05,0.00647067362491562,1,1,"""sig4""^""HI""","""sig3""^""HI""",5,-2.18905050505692,"black","black",2523,"Genome integrity","All"
