"","cancertype","variable",".y.","group1","group2","p","p.adj","p.format","p.signif","method","ESig3","ESig4","direction","mean_diff","logP_direction","significant"
"1","BLCA","SBS1","value","ESig4","ESig3",0.781077478494208,0.83,"0.78108","ns","Wilcoxon",15.85,16.4776119402985,"""sig4""^""HI""",-0.627611940298509,0.0809219076239261,0
"2","BLCA","SBS2","value","ESig4","ESig3",0.0419390802527143,0.093,"0.04194","*","Wilcoxon",97.0333333333333,72.955223880597,"""sig3""^""HI""",24.0781094527363,-1.03151705144606,0
"3","BLCA","SBS3","value","ESig4","ESig3",0.161831780538165,0.25,"0.16183","ns","Wilcoxon",18.6333333333333,5.2089552238806,"""sig3""^""HI""",13.4243781094527,-0.602059991327962,0
"4","BLCA","SBS13","value","ESig4","ESig3",0.00637556007776768,0.023,"0.00638","**","Wilcoxon",113.883333333333,63.0298507462687,"""sig3""^""HI""",50.8534825870647,-1.63827216398241,1
"5","BLCA","SBS15","value","ESig4","ESig3",0.297897597992341,0.42,"0.29790","ns","Wilcoxon",0.133333333333333,0,"""sig3""^""HI""",0.133333333333333,-0.3767507096021,0
"6","BLCA","Leukocyte Fraction","value","ESig4","ESig3",5.32629517508391e-06,0.00023,"5.3e-06","****","Wilcoxon",0.323420664642276,0.190645967833923,"""sig3""^""HI""",0.132774696808353,-3.63827216398241,1
"7","BLCA","Stromal Fraction","value","ESig4","ESig3",2.18524061296856e-07,2.9e-05,"2.2e-07","****","Wilcoxon",0.5495,0.346268656716418,"""sig3""^""HI""",0.203231343283582,-4.53760200210104,1
"8","BLCA","Intratumor Heterogeneity","value","ESig4","ESig3",8.08871649761692e-07,5.3e-05,"8.1e-07","****","Wilcoxon",0.289833333333333,0.141791044776119,"""sig3""^""HI""",0.148042288557214,-4.27572413039921,1
"9","BLCA","TIL Regional Fraction","value","ESig4","ESig3",0.00670356072154778,0.023,"0.00670","**","Wilcoxon",9.62067749861941,4.98568302383058,"""sig3""^""HI""",4.63499447478883,-1.63827216398241,1
"10","BLCA","Proliferation","value","ESig4","ESig3",0.435853711903069,0.58,"0.43585","ns","Wilcoxon",0.449688333333333,0.336803174603175,"""sig3""^""HI""",0.112885158730159,-0.236572006437063,0
"11","BLCA","Wound Healing","value","ESig4","ESig3",0.477135256930613,0.6,"0.47714","ns","Wilcoxon",0.183208333333333,0.160349206349206,"""sig3""^""HI""",0.022859126984127,-0.221848749616356,0
